Review,Status
"My sister seem to enjoy this novel, in my case, there are certain drawbacks to be in my top list",0
I am kind of neutral about this book,0
I regard myself to be nonpartisan for this novel,0
"I have a mixed feeling about this novel, quite unsure",0
This novel is nice but it is overrated,0
The book was good but it could have been better,0
A sentimental yet dull story,0
I really had high expectations with this book but it was not much good enough,0
The effort made by author for trying to write this average novel worths atleast 3 rating,0
"This is a good book, though it is ridiculously overrated",0
The writing skills were good but this was a weird little story,0
Would not consider as one of the best books by the author in comparison to previous book. But still it had quite enjoyable plot.,0
Eventhough the story of this novel was excellent but the author seem to focus on male character development whereas unable to develop female characters as per their potential,0
The novel was good but quite ordinary story,0
I don't love it but I don't hate it either,0
I am having love and hate mixed feeling about this novel,0
There are many other better novels than this one but if you want you can also read this one,0
"I am in dilemma, this novel is in the middle of 2 to 3 rating for me",0
